ID	icon图片名称	模型动画名称	模型动作描述名称
int	string	string	string
ID	iconName	animatorName	motionName
0	Setting_imge_aima	Aggrieved	委屈
1	Setting_imge_buyaobuyao	Refuse	拒绝
2	Setting_imge_chenzui	Intoxicated	陶醉
3	Setting_imge_gaoxing	Happy	高兴
4	Setting_imge_guzhang	Clapping	鼓掌
5	Setting_imge_kuqi	Crying	哭泣
6	Setting_imge_qidai	Expect	期待
7	Setting_imge_shengqi	Angry	生气
8	Setting_imge_tiaoxin	Provocation	挑衅
9	Setting_imge_zhaoshou	WaveHand	招手
10	Setting_imge_fangun	Roll	翻滚
11	Setting_imge_naoyangyang	Tickle	挠痒
12	Setting_imge_qiubaobao	Hug	抱抱
13	Setting_imge_sajiao	Coquetry	撒娇
14	Setting_imge_sajiao	LeftRight	左顾右盼
15	Setting_imge_sajiao	PlayFingers	玩手指
16	Setting_imge_sajiao	Cry	哭泣
17	Setting_imge_sajiao	Applause	鼓掌
18	Setting_imge_sajiao	No	拒绝
19	Setting_imge_sajiao	Chagrin	委屈
20	Setting_imge_sajiao	Intoxicate010	陶醉
21	Setting_imge_sajiao	HandUp	向上摊手
22	Setting_imge_sajiao	HandDown	向下摊手
23	Setting_imge_sajiao	Myself	双手交叠
24	Setting_imge_sajiao	Shy	害羞
25	Setting_imge_sajiao	LookForward	向前看
26	Setting_imge_sajiao	Touch10	摸东西
27	Setting_imge_sajiao	Kiss01_01	飞吻
28	Setting_imge_sajiao	Kiss02_01	亲吻
29	Setting_imge_sajiao	NodAssent	点头
30	Setting_imge_sajiao	Tsundere	傲娇
31	Setting_imge_sajiao	Think	思考
32	Setting_imge_sajiao	Kiss	飞吻
33	Setting_imge_sajiao	BeShy	害羞
34	Setting_imge_sajiao	BeCool	装酷
35	Setting_imge_sajiao	Assent	点头
36	Setting_imge_sajiao	Farewell	挥手
37	Setting_imge_sajiao	Unwillingly	无奈
38	Setting_imge_sajiao	Exciting	兴奋
39	Setting_imge_sajiao	Irritability	烦躁
40	Setting_imge_sajiao	Pose01	pose01
41	Setting_imge_sajiao	Pose02	pose02
42	Setting_imge_sajiao	Pose03	pose03
