ID	模型动画名称	眼皮睁闭类型	左眼皮mf	右眼皮mf	眼皮	左瞪眼	眼皮动画名	眼珠类型	眼珠使用率	眼珠左转mf	眼珠右转mf	眼珠上转mf	眼珠下转mf	眼珠左右动画名	眼珠上下动画名	舌头类型	舌头mf	舌头动画	抬眉毛类型	抬眉使用率	压眉毛使用率	左抬眉mf	右抬眉mf	压眉毛mf	抬眉毛	挤眉弄眼	嘴唇类型	嘴唇使用率	上嘴唇mf	下嘴唇mf	上嘴出	下嘴出	半张嘴类型	半张嘴使用率	上半张嘴	下半张嘴	嘴巴类型	嘴巴使用率	张嘴嘴型x的曲线度	正常张嘴mf	嘴巴其他类型	嘴巴其他类型使用率	张嘴嘴型x mf	嘟嘴角类型	嘟嘴角类型使用率	左嘟嘴角mf	右嘟嘴角mf	嘟嘴角	左鼓嘴使用率	左鼓嘴blend	右鼓嘴使用率	右鼓嘴blend	咧嘴角类型	左咧嘴mf	右咧嘴mf	咧嘴	笑	左咧嘴笑mf	右咧嘴笑mf	咧嘴笑	歪嘴类型	歪嘴使用率	左歪嘴mf	右歪嘴mf	向上撅嘴	嗅鼻子	嗅鼻子mf	头部类型	摇头mf	点头mf	侧头mf	摇头动画	点头动画	侧头动画
int	string	float	string	string	string	string	string	float	float	string	string	string	string	string	string	float	string	string	float	float	float	string	string	string	string	string	float	float	string	string	string	string	float	float	string 	string	float	float	float	string	float	float	string	float	float	string	string	string	float	string	float	string	float	string	string	string	float	string	string	string	float	float	string	string	string	float	string	float	string	string	string	string	string	string
ID	ModelName	EyelidCtlType	EyelidIndex_l	EyelidIndex_r	Eyelid	EyeWide_Lindex	EyelidFloatName	EyeballCtlType	EyeballRate	EyeballIndex_x_L	EyeballIndex_x_R	EyeballIndex_y_UP	EyeballIndex_y_DOWN	EyeballFloatName_X	EyeballFloatName_Y	TangueCtlType	TangueIndex	TangueFloatName	EyeBrowCtlType	BrowUpRate	BrowDownRate	EyeBrowIndex_l	EyeBrowIndex_r	EyeBrowDownIndex	EyeBrowUpIndex	BrowsInIndex	MouseLipCtlType	MouseLipRate	MouseLipIndex_Up	MouseLipIndex_Down	DownLip_OutIndex	UpLip_OutIndex	MouseHalfCtlType	MouseHalfRate	MouseHalfIndex_Up	MouseHalfIndex_Down	MouseOpenCtlType	MouseOpenRate	MouthOpenTypeLevel	MouseOpenIndex	MouseShapeCtlType	MouthShapeRate	MouthShapeIndex	MousePoutCornerCtlType	MousePoutCorneRate	MousePoutIndex_L	MousePoutIndex_R	MousePoutIndex	CheekPuff_L_Rate	CheekPuff_LIndex	CheekPuff_R_Rate	CheekPuff_RIndex	MouseCornerCtlType	MouseCornerIndex_l	MouseCornerIndex_r	MouseCornerIndex	MouseSmileCtlType	MouseSmileIndex_l	MouseSmileIndex_r	MouseSmileIndex	MouseCrookedCtlType	MouseCrookedRate	MouseCrookedIndex_l	MouseCrookedIndex_r	CcrookMouth_UpIndex	SniffCtlType	SniffIndex	HeadCtlType	YawIndex	PitchIndex	RollIndex	YawFloatName	PitchFloatName	RollFloatName
0	default	1	Blink_L	Blink_R	Blink	EyesWide		1	1	EyesLeft	EyesRight	EyesUP	EyesDown			1	TongueOut2		1	1	1	BrowUp_L	BrowUp_R	BrowDown	BrowUp	BrowsIn	1	1	UpperLip	LowerLip	DownLip_Out	UpLip_Out	1	1	N_Half open mouth_Down	N_Half open mouth_Down	1	1	0	MouthOpen	1	1	Mouth_O	1	1	ShrinkMouth_L	ShrinkMouth_R	Pout	1	CheekPuff_L	1	CheekPuff_R	1	Grin_L	Grin_R	Grin	1	Smile_Mouth_L	Smile_Mouth_R	SmileMouth	1	1	CrookedMouth_L	CrookedMouth_R	CcrookMouth_Up	1	Sniff	3				yaotou	diantou	cetou
1	pc_tieguo	1	Blink_R	Blink_L	Blink	EyesWide		1	1	EyesRight	EyesLeft	EyesUP	EyesDown			1	TongueOut2		1	1	1	BrowsUp_L	BrowsUp_R	BrowDown	BrowUp		1	1	UpperLip	LowerLip			1	1	N_Half_open_mouth_up	N_Half_open_mouth_Down	1	1	0	MouthOpen	1	1	Mouth_Oo	1	0	Shrink_mouth_L	Shrink_mouth_R	Pout	1		1		1	Grin_L	Grin_R	Grin	1	Smile_L	Smile_R	Smile	1	1	Crooked_mouth_R	Crooked_mouth_L		1	Sniff	3				yaotou	diantou	cetou
2	pc_minecraft01	1	Blink_L	Blink_R	Blink	EyesWide		1	1	EyesLeft	EyesRight	EyesUP	EyesDown			1	TongueOut2		1	1	1	BrowUp_L	BrowUp_R	BrowDown	BrowUp		1	1	UpperLip	LowerLip			1	1	HalfOpenMouth_Up	HalfOpenMouth_Down	1	1	0	MouthOpen	1	1	Mouth_W	1	1			Pout	1		1		1	Grin_R	Grin_L	Grin	0	Smile_L	Smile_R	SmileMouth	1	1	Crooked mouth_L	Crooked mouth_R		1	Sniff	3				yaotou	diantou	cetou
3	pc_minecraft02	1	Blink_L	Blink_R	Blink	EyesWide		1	1	EyesLeft	EyesRight	EyesUP	EyesDown			1	TongueOut2		1	1	1	BrowUp_L	BrowUp_R	BrowDown	BrowUp		1	1	UpperLip	LowerLip			1	1	HalfOpenMouth_Up	HalfOpenMouth_Down	1	1	0	MouthOpen	1	1	Mouth_W	1	1			Pout	1		1		1	Grin_R	Grin_L	Grin	0	Smile_L	Smile_R	SmileMouth	1	1	Crooked mouth_L	Crooked mouth_R		1	Sniff	3				yaotou	diantou	cetou
4	pc_xiongmao4	1	Blink_L	Blink_R	Blink			3	1					yanzhuX	yanzhuY	1	TongueOut2		1	1	1	BrowsUp_L	BrowUp_R	BrowDown	BrowUp		1	1	N_Half open mouth_up	N_Half open mouth_Down			1	1	N_Half open mouth_up	N_Half open mouth_Down	1	1	0	MouthOpen	1	1	Mouth_W	1	1	ShrinkMouth	ShrinkMouth_R	Pout	1	CheekPuff_L	1	CheekPuff_R	1	Grin_R	Grin_L	Grin	1	SmileMouth	Smile_mouth_R	SmileMouth	1	1	CrookedMouth_L	CrookedMouth_R	CcrookMouth_Up	1	Sniff	3				yaotou	diantou	cetou
5	pc_jiangxiaoyu	1	Blink_L	Blink_R	Blink	EyesWide		1	1	EyesLeft	EyesRight	EyesUP	EyesDown			1	TongueOut2		1	1	1	BrowUp_L	BrowUp_R	BrowDown	BrowUp	BrowsIn	1	1	UpperLip	LowerLip			1	1	HalfOpenMouth_Up	HalfOpenMouth_Down	1	1	0	MouthOpen	1	1	Mouth_O	1	1	ShrinkMouth_L	ShrinkMouth_R	Pout	1	CheekPuff_L	1	CheekPuff_R	1	Grin_R	Grin_L	Grin	1	Smile_mouth_L	Smile_mouth_R	SmileMouth	0	1	CrookedMouth_L	CrookedMouth_R	CcrookMouth_Up	1	Sniff	3				yaotou	diantou	cetou
6	pc_xiningjun	1	Blink_R	Blink_L	Blink	EyesWide		1	1	EyesLeft	EyesRight	EyesUP	EyesDown			1	TongueOut2		1	1	1	BrowUp_L	BrowUp_R	BrowDown	BrowUp	BrowsIn	1	1	UpperLip	LowerLip	DownLip_Out	UpLip_Out	1	1	HalfOpenMouth_Up	HalfOpenMouth_Down	2	1	0	MouthOpen	1	1	Mouth_O	1	1	ShrinkMouth_L	ShrinkMouth_R	Pout	1	CheekPuff_L	1	CheekPuff_R	1	Grin_L	Grin_R	Grin	1	Smile_Mouth_L	Smile_Mouth_R	SmileMouth	1	1	CrookedMouth_L	CrookedMouth_R	CcrookMouth_Up	1	Sniff	3				yaotou	diantou	cetou
7	pc_qiyiboshi	1	Blink_L	Blink_R	Blink	EyesWide		3	1					yanzhuX	yanzhuY	1	TongueOut2		1	1	1	BrowUp_L	BrowUp_R	BrowDown	BrowUp	BrowsIn	1	0.1	UpperLip		DownLip_Out	UpLip_Out	1	1			1	1	0	MouthOpen	1	1	Mouth_WU	1	1	ShrinkMouth_L	ShrinkMouth_R	Pout	1	CheekPuff_L	1	CheekPuff_R	1	Grin_L	Grin_R	Grin	1			SmileMouth	1	1	CrookedMouth_L	CrookedMouth_R	CcrookMouth_Up	1	Sniff	3				yaotou	diantou	cetou
